,label,tweet,cleaning
34,happy,"Pada akhirnya kita akan melewati semua ini, semua yang dulu kita bayangkan betapa sulitnya. Kita lalui juga. Di akhir kita hanya bisa belajar, belajar, dan belajar. Memetik semua hikmah yang bisa kita petik. Mempersiapkan untuk kedepan.",akhir lewat semua ini semua dulu bayang betapa sulit lalu juga akhir ajar ajar ajar petik semua hikmah petik siap depan
35,love,"Kenapa pasangan seringkali diibaratkan sebagai ""rumah""? Karena rasa nyaman bersamanya senyaman berada di rumah, kamu bisa jadi apa saja, kamu selalu pulang menujunya ",pasang seringkali ibarat rumah rasa nyaman sama nyaman ada rumah kamu jadi apa saja kamu selalu pulang tuju
36,fear,"Ya tau kalo rasa sakit hati memamg sulit, tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat ini...media itu jahat enggak menyelesaikan masalah dengan terlontarnya kata demi kata",iya tahu kalau rasa sakit hati memamg sulit kala nya jenjang rumah tangga jangan lah publik situasi ini media jahat selesai masalah lontar kata kata
37,happy,Ponakan kls 4 SD: lg demen nonton video tutorial masak + craft @ YouTube. gw kls 4 SD: udah baca novel2 Marga T. &amp Mira W. minjem punya sepupu,ponakan kls sd suka nonton video tutorial masak craft youtube kls sd baca novel marga t amp mira w minjem punya sepupu
38,happy,Bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat. Sampailah suaminya itu dpet pangkat yg tinggi. Kurang paham juga tentang pangkat2an di TNI. Pokonya sudah hidup bekecukupan.,bberapa tahun kemudian sejahtera keluarga makmak teus tingkat sampai suami dpet pangkat tinggi kurang paham pangkat an tni poko hidup bekecukupan
39,sadness,"Bukan tidak mendukung atau mendoakan, cuma menyikapi apa yang sudah2, itu pilihanmu dan berupayalah mempertahankannya...disini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar...seperti saat kala itu menerima undangan pernikahanmu.",bukan dukung doa cuma sikap apa sudah pilih upaya tahan sini aku jauh bahagia lihat sedih kebahagianku pudar seperti kala terima undang nikah
40,happy,JNE/JNT selama saya pake entah kirim paket/beli olshop jastip dari luar kota sampe beda pulau maksimal 3 hari sampe mau itu dia pake mobil susah cari alamat bingung gabisa masuk kompleks/gang meski malem sekalipun dibelain jalan ke rumah sampe paketan terkirim dgn baik.,jne jnt lama pakai entah kirim paket beli olshop jastip luar kota beda pulau maksimal hari mau pakai mobil susah cari alamat bingung gabisa masuk kompleks gang meski malam sekalipun bain jalan rumah paket kirim baik
41,anger,"Gemes bgt sama orang yg masih menganggap wajar pelecehan sexual secara verbal  mau verbal atau fisik atau apapun, itu tetap tidak dibenarkan!",gemes banget sama orang anggap wajar leceh sexual verbal mau verbal fisik apa tetap benar
42,fear,Apa hukumnya bermain musik stad? jelas HAROOOOM hukumnya! Berdosa kita memainkannya! Begitulah kira-kira percakapan yg terjadi antara penanya dan seorang ustad disebuah acara tv yg intronya pake musik. ,apa hukum main musik stad jelas haroooom hukum dosa main begitu kira kira cakap jadi pena orang ustad buah acara tv intro pakai musik
43,anger,Apa Hebatnya Mardani? Menurut sy oeang ini Cuma besar mulut aja Faktanya sampai saat ini blm menyebutkan Capres Lagipula kalau Koalisinya Hanya PKS dan GERINDRA nggak mungkin lah yaow,apa hebat mardani oeang cuma besar mulut fakta sebut capres lagipula kalau koalisi pks gerindra mungkin lah yaow
44,sadness,"Oh iya, ibu nya ngelahirin anak ke 3 yaitu cewek tpi gak tahu tahun berapa2 nya. Lanjut yg tadi, baru aja setahun di kasih kenikmatan datang lgi ujian buat si makmak kali ini mungkin berat. Dia di tinggal suaminya meninggal. Seketika ibu itu jadi singel parent",iya ibu nya ngelahirin anak cewek tahu tahun berapa nya lanjut tadi baru tahun kasih nikmat datang uji buat si makmak kali mungkin berat tinggal suami tinggal ketika ibu jadi singel parent
45,happy,Z suka twitter soalny perempuan ji semua temanku dsni Biar mengomel sampe tablengker ndada bahayanya... bahas 'monsteration' jg bebas.. bahas nda puasa jg bebas~~~~~ Di wa mo update status streskan 'monsteration' kt harus pi dl blok semua cowo baru mengupdate ,z suka twitter soalny perempuan ji semua teman dsni biar omel tablengker ndada bahaya bahas monsteration bebas bahas puasa bebas wa mau update status stres monsteration dl blok semua cowo baru mengupdate
46,anger,Nggak ngerti lagi sama ciwi-ciwi yang nyinyirin Via Vallen ini. Dia itu korban loh. Sesusah itukah untuk saling support satu sama lain gurlzz?,erti sama ciwi ciwi nyinyirin lewat vallen ini korban loh susah itu saling support satu sama gurlzz
47,anger,"hari ini libur, rencananya mau nonton Jurassic World, tapi kayanya gajadi deh mengingat kondisi yg gak fit bgt ini sebel. Rusak rencana sebelanga.. sebel akutu",hari libur rencana mau nonton jurassic world kayak gajadi deh ingat kondisi fit banget sebel rusak rencana belanga sebel akutu
48,anger,"Nah ini, yg nunggu anak anteng dengan kesabaran seluas samudra trus bapaknya dateng2 bikin anak nangis. Hmmm kuingin marah melampiaskan",nah ini nunggu anak anteng sabar luas samudra trus bapak dateng bikin anak nang hmmm ingin marah lampias
49,love,"Ku rindu bisik mu di telingaku Seraya kau berkata ""semoga kelak kau menjadi anak yg berguna bagi banyak orang dan semoga kau selalu menyayangi kami orang tua mu"".",ku rindu bisik mu telinga kamu kata moga kelak kamu jadi anak guna banyak orang moga kamu selalu sayang orang tua mu
50,anger,ini hasil sekolah asal sekolah ... mikirlah Mahkamah Internasional itu punya kewenangan mengadili perkara genosida dsbnya ...,hasil sekolah asal sekolah mikirlah mahkamah internasional punya wenang adil perkara genosida dsbnya
51,anger,"Lah elu yang harusnya ditanya teh, kenapa bisa berasumsi guw mah kacang tanpa kulit, maksudnya apa hayo? Ke sana juga kan maksud loooo",lah kamu harus tanya kakak perempuan asumsi guw mah kacang kulit maksud apa hayo sana kan maksud loooo
52,anger,"web permata krg profesional. Ada program cashback 10rb token pln, waktu di klik info, masuknya ke program paket kuota data. Piye iki?",web permata krg profesional program cashback rb token pln waktu klik informasi masuk program paket kuota data piye iki
53,fear,"Nah.... Yg saya takutkan itu mas. Nanti di tumpangi politik dibalut agama. Itu yg bahaya, soale masyarakat kita sedang sensitif dgn hal tersebut.",nah takut mas tumpang politik balut agama bahaya soale masyarakat sedang sensitif sebut
54,sadness,"mau cerita kesiapa kalau udah kayak begini? hancur hidup ini pikirin dong gimana hati ku aku sedih, aku nangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw",mau cerita siapa kalau kayak begini hancur hidup pikirin dong bagaimana hati ku aku sedih aku menang tetes air mata kayak lirik lagu sayang pia palen deh wkwkw
55,sadness,"Setelah 20hari puasa dan saur gak pernah kesiangan, akhirnya di hari ke21 ngerasain makan saur supeerrr dupeerr ekspress, 1menit sebelum imsak baru bangun yassalaaam",hari puasa saur pernah siang akhir hari ke ngerasain makan saur supeerrr dupeerr ekspress menit imsak baru bangun yassalaaam
56,fear,"Jdi ada thr tapi dri APBD. Yang punya kuasa takut, kalau kalau di garis bawahi sama kpk. Dan jadilah mereka ggl dpt thr tahun ini. Kok bisa gitu ya. Buk mentri bilang aman. Yang lain ketakutan.",jadi thr apbd punya kuasa takut kalau kalau garis bawah sama kpk jadi ggl thr tahun ini kok gitu iya buk tri bilang aman takut
57,anger,tolong bantu saya [USERNAME] Kenapa ya lptop saya sudah 2 kali kok gabisa buka dokumen pasti not responding.pdhal sudah pernah dibawa ke hp center smg . Apakah lptop saya termasuk produk gagal atau gimana.beli 11 maret 2018 . Dan kalo gini trs kan jd jgkel sndri.,bantu username iya lptop kali kok gabisa buka dokumen not responding pdhal pernah bawa hp center smg lptop masuk produk gagal bagaimana beli maret kalau gin terus kan jadi jgkel sndri
58,anger,ini udah masuk ke proses penjualan... Tapi pas dibuka detail ko malah gini? Apakah produk sedang diproses atau diproses tgl 11?,masuk proses jual pas buka detail ko bahkan gin produk sedang proses proses tanggal
59,anger,[USERNAME] Semen indonesia belum nambang loh di Rembang...malah ada perusahaan yg lokasi hanya 200 meter dr areal tambang semen tidak pernah diprotes dan ini sudah bertahun2 lamanya...knp kok pas semen diprotes?,username semen indonesia nambang loh rembang bahkan usaha lokasi meter areal tambang semen pernah protes tahun lama kenapa kok pas semen protes
60,anger,SIAPA YG BILANG PUNYA ANAK MENYENANGKAN TEROS *sodorin anak yg tantrum karna ngantuk tp gak mau bobo* *istigfar kenceng2*,siapa bilang punya anak senang ros sodorin anak tantrum ngantuk mau bobo istigfar kenceng
61,sadness,"Merasa oon ketika tahu sesuatu dan tidak boleh di bicarakan ke orang lain, nah kelalaian malah sebaliknya, jadi malah merubah siklus dan alur waktu yang seharusnya itu terjadi",rasa oon tahu bicara orang lain nah lalai bahkan balik jadi bahkan rubah siklus alur waktu jadi
62,anger,"Punya sahabat cowo 2 nih, tapi sering nya ga konsisten terus sering bohong lagi. Kenapa sih? Udah berkali2 dimarahin karna sering bohong tapi ga mempan2 juga. Apa kodratnya suka bohong apa gimana?",punya sahabat cowo ini sering nya konsisten terus sering bohong lagi sih kali dimarahin sering bohong mempan juga apa kodrat suka bohong apa bagaimana
63,happy,"Kalau tau ada libur panjang - selain lebaran - tuh rasanya pengen cepet gendong cerrier pake sepatu trus pergi, ketemu alam dan berdamai dengannya,",kalau tahu libur panjang lebaran tuh rasa ken cepat gendong cerrier pakai sepatu trus pergi ketemu alam damai dengan
64,anger,Siapa bilang kafir gabung sama khilafah bro jgn alihkan isu anda itu siapa penyelundup dari kaum bumidatar se-olah2 pro Pancasila [USERNAME] [URL],siapa bilang kafir gabung sama khilafah saudara laki laki jangan alih isu siapa selundup kaum bumidatar se olah profesional pancasila username url
65,happy,"btw doa restu orang tua itu emang gilingan ya... pas udah mentok nyari literatur tambahan, nemu aja dong di RUMAH. padahal dari kemarin udah panik kudu mesen dari banyumas  apakah ini berkah ramadan [URL]",bicara bicara doa restu orang tua emang giling iya pas mentok cari literatur tambah nemu dong rumah padahal kemarin panik mesen banyumas berkah ramadan url
66,anger,Salah satu contoh tidak tau berterima kasih... pdhl datang pas sdh terkenal pi wannaone... ckckckc yg dl berjuang siapa? Jawab sendiri ma ko deh Wanna One's Swing Entertainment warns legal action against fansite masters [URL] via [USERNAME],salah satu contoh tahu terima kasih pdhl datang pas kenal wannaone ckckckc dl juang siapa jawab sendiri sama ko deh wanna one s swing entertainment warns legal action against fansite masters url lewat username
67,fear,"Dri pgi ngerasain sakit perut kirain mau haid, udh beli kiranti pas di cek malah kaga ada,  plis atulah haid skrg aja, biar bisa ikut solat ied ",pgi ngerasain sakit perut kirain mau haid udh beli kiranti pas cek bahkan ada plis atulah haid skrg saja biar ikut solat ied
68,sadness, Turut berduka cita buat kawan a cak. Semoga. Keluarga yg di tinggalkan a. Bisa di beri kesabaran &amp meridoi kepergian alm.. #sajete #wani,turut duka cita buat kawan a cak moga keluarga tinggal a beri sabar amp meridoi pergi alm sajete wani
69,anger,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,username jaring mati iya buka mobile jkn mau puskesmes trus piye mau tunjuk kartu elektoniknya kecewa
70,anger," lo belum lahir atau belom sekolah bong saya rasa.... Atau bapak lo pki bong Bandit , rampok atau sejenis yg menganggu orang banyak? Pak Soeharto dibilang kejam hanya oleh orang2 Pki Bandit Rampok Bong bong bongakkk [URL]",kamu lahir sekolah bong rasa bapak kamu pki bong bandit rampok jenis menganggu orang banyak bapak soeharto bilang kejam orang pki bandit rampok bong bong bongakkk url
71,anger,bagi yang dulunya usaha terus skrg jd karyawan macam gue pasti bawaannye pgn usaha lagi . ga ada yang ngatur .flexible. lbh banyak duit. faaak,usaha terus skrg jadi karyawan macam bawaannye pgn usaha ngatur flexible lbh banyak duit faaak
72,sadness,Salah satu efek merapi sama bom bagi orang yang mau bikin event. Negara lain takut ke Jogja dan Indonesia karena. Jadi aku lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama merapi sama teror juga. Moga merapi lekas reda :) moga ngga ada bom lagi.,salah satu efek rapi sama bom orang mau bikin event negara takut jogja indonesia karena jadi aku event internasional beberapa negara konfirmasi takut sama rapi sama teror juga moga rapi lekas reda moga bom lagi
73,anger,Baiknya Gubernur Anies Baswedan dimosi tdk percaya biar lengser [USERNAME] ! [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL],baik gubernur anies baswedan mosi percaya biar lengser username username username username username username username username username username url
74,anger,Kaum oposisi tidak bikin geger-an di media termsk medsos ketika Rupiah menguat.... Musim ribut-nya khusus wkt terjadi pelemahan saja... dg menyalahkan semuanya kpd Presiden [USERNAME] ....  [URL],kaum oposisi bikin geger an media termsk medsos rupiah kuat musim ribut nya khusus waktu jadi lemah saja salah semua presiden username url
75,sadness,"Lagi puasa tp dri pagi udah kesana kemari mmbawa alamat,, eh ayuting2 kalee.. enggk ding. Ini knpa siang2 tetangga sbelah goreng telur yah, kan baunya smpe idung gw hikss piye sih mbak?",puasa pagi kesana kemari mmbawa alamat eh ayuting kalee enggk ding siang tetangga sbelah goreng telur yah kan bau smpe idung hikss piye sih mbak
76,anger,[USERNAME] Heee aku kemarin ngeliat hoak tetang pohon plastik pertama kali dr akun anda ygdisebarkan lewat fb .... ini bukan saja nol besar tp skaligus nonjok muka junjungan sdr ... terima kasih,username heee aku kemarin lihat hoak tetang pohon plastik pertama kali akun ygdisebarkan lewat fb bukan nol besar skaligus nonjok muka junjung sdr terima kasih
77,anger,"[USERNAME] Min ini gimana? Kurirnya salah kirim, malah ke alamat orang. Trs pertanggung jawabannya gimana? Tolong respon secepatnya. Thanks. [URL]",username min bagaimana kurir salah kirim bahkan alamat orang terus tanggung jawab bagaimana respon cepat terima kasih url
78,fear,Ini pas banget! Gue habis baca buku ada bule PDKT bilang cariin rumah sama.mobil. dicariin mobil sama rumah mewah si bule Ok dan niat kirim uang sekitar $100jt tp pake pos. Bilang sama hadiah lain. Tp gak masuk akal kirim yang sebanyak itu pake pos [URL],pas banget habis baca buku bule pdkt bilang cariin rumah sama mobil dicariin mobil sama rumah mewah si bule niat kirim uang jt pakai pos bilang sama hadiah lain masuk akal kirim banyak pakai pos url
79,anger,[USERNAME] [USERNAME] [USERNAME] [USERNAME] Masalahnya itu uang buat konsumsi buka puasa bareng anak yatim yang harus dibayarkan ke katering ..,username username username username masalah uang buat konsumsi buka puasa bareng anak yatim bayar katering
80,sadness,Niat ke masjid sholat nya di lantai 2 berharap bisa obob manjah krn biasanya ga banyak yg solat disini. Fact: Fullhouse mpe shaf belakang. Bhay!,niat masjid sholat nya lantai harap obob manjah biasa banyak solat sini fact fullhouse shaf belakang bhay
81,happy,"Paling excited kalo ngobrol sama orang kreatif, siap saja kalo bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu: ""Oh iya, kenapa aku baru kepikiran?""  ",paling excited kalau ngobrol sama orang kreatif siap kalau bakal cengang sama ide mungkin pernah pikir oleh oh iya aku baru pikir
82,anger,"Miris : Menciptakan 'karya' dengan susah payah yang menguras pikiran,tenaga,waktu dan materi,... KALAH oleh oknum yg menjiplak dan/atau sekedar terima beres memanfaatkan karya orang lain dengan gimmik dan sensasi. Gimana menurut [USERNAME] ??",miris cipta karya susah payah uras pikir tenaga waktu materi kalah oknum jiplak dan atau dar terima beres manfaat karya orang gimmik sensasi bagaimana username
83,anger,"Sebelah mana stereotyping-nya dari pernyataan saya? Coba ditunjukkan, siapa tahu saya salah bicara. Bagus dong kalau banyak yang mengecam. Semakin banyak makin terdengar suara untuk kebenaran, semakin bagus. Kalau benar tapi kalah keras sama yang salah, itu yang harus diatasi. [URL]",belah mana stereotyping nya nyata saya coba tunjuk siapa tahu salah bicara bagus dong kalau banyak kecam makin banyak makin dengar suara benar makin bagus kalau benar kalah keras sama salah atas url
84,anger,Tipikal cowo menye menye bgt ni. Paling ngga bisa diajak argumen. Menyalahkan orang dan mengeluh terus ni manusia maha sempurna. Pen ngatain goblok tapi puasa.,tipikal cowo menye menye banget ini paling ajak argumen salah orang keluh terus manusia maha sempurna pen ngatain bodoh puasa
